time,com_x,com_y,r_com_x,r_com_y,cp_1_x,cp_1_y,cp_2_x,cp_2_y,cp_3_x,cp_3_y,cp_4_x,cp_4_y,r_cp_1_x,r_cp_1_y,r_cp_2_x,r_cp_2_y,r_cp_3_x,r_cp_3_y,r_cp_4_x,r_cp_4_y,st_icm_2,st_sp_2,st_raw_2,st_org_2,r_st_2,st_2,tan_sp_2,tan_icm_2,v_icm_2,v_sp_2,v_2,d_2
     0.0755,   0.0783754,  -0.0069353,   0.0782652,  -0.0069363,    0.478469,    0.222677,    0.478476,    -0.22066,   -0.632839,    0.222901,   -0.632953,   -0.220281,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  -0.0477722,           0,           0,  -0.0677994,  -0.0673612,    0.064605,           0,           0,  -0.0555713, 5.55713e-05,           0
     0.0805,   0.0783945, -0.00693615,   0.0782652,  -0.0069363,    0.478731,    0.222705,    0.478788,   -0.220627,   -0.633003,    0.222875,   -0.633056,   -0.220295,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  -0.0485645,           0,           0,  -0.0678435,   -0.067391,   0.0850277,           0,           0,  -0.0725879, 7.25879e-05,           0
    0.08575,   0.0783634, -0.00691733,   0.0782652,  -0.0069363,    0.478625,    0.222706,    0.478682,   -0.220625,   -0.633109,    0.222877,   -0.633162,   -0.220293,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  -0.0495401,           0,           0,  -0.0678702,  -0.0674178,   0.0780162,           0,           0,  -0.0852216, 8.52216e-05,           0
      0.091,   0.0783156, -0.00692501,   0.0782652,  -0.0069363,    0.479159,    0.222752,    0.479317,   -0.220582,   -0.633168,    0.222842,   -0.633107,   -0.220338,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  -0.0454812,           0,           0,  -0.0678912,  -0.0674106,    0.119808,           0,           0,   -0.118281, 0.000118281,           0
    0.09575,   0.0782457, -0.00692024,   0.0782652,  -0.0069363,    0.478971,    0.222757,    0.479128,   -0.220578,   -0.633356,    0.222846,   -0.633295,   -0.220334,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  -0.0421883,           0,           0,   -0.067926,  -0.0674455,    0.107409,           0,           0,   -0.140321, 0.000140321,           0
      0.101,   0.0782684, -0.00694685,   0.0782652,  -0.0069363,    0.479489,    0.222793,    0.479771,   -0.220547,   -0.633446,     0.22282,   -0.633255,   -0.220357,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  -0.0354344,           0,           0,  -0.0679367,  -0.0675047,    0.149531,           0,           0,   -0.186924, 0.000186924,           0
     0.1055,    0.078223, -0.00694405,   0.0782652,  -0.0069363,    0.479305,    0.222799,    0.479586,    -0.22054,    -0.63363,    0.222827,    -0.63344,   -0.220351,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  -0.0296844,           0,           0,  -0.0679612,  -0.0675293,    0.137474,           0,           0,   -0.218285, 0.000218285,           0
     0.1105,   0.0781952, -0.00694737,   0.0782652,  -0.0069363,    0.479656,    0.222817,    0.480049,   -0.220513,   -0.633706,     0.22281,   -0.633408,   -0.220363,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  -0.0220326,           0,           0,  -0.0679757,  -0.0675542,    0.167621,           0,           0,   -0.266789, 0.000266789,           0
    0.1155,  0.0780624,  -0.006931,  0.0782652, -0.0069363,   0.479557,   0.222823,    0.47995,  -0.220507,  -0.633805,   0.222816,  -0.633507,  -0.220357,   0.477479,   0.222793,   0.477511,  -0.220554,  -0.631783,   0.222808,  -0.631891,  -0.220386,          0, -0.0154206,          0,          0, -0.0679939, -0.0675726,   0.161165,          0,          0,    -0.3024,  0.0003024,          0
     0.1205,   0.0779813, -0.00691987,   0.0782652,  -0.0069363,    0.479807,    0.222858,    0.480334,   -0.220481,   -0.633924,    0.222802,   -0.633505,   -0.220374,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0, -0.00775679,           0,           0,  -0.0680241,   -0.067592,     0.18603,           0,           0,   -0.351189, 0.000351189,           0
